_id,Date_Collected,LTC_Home,LTC_Home_Number,City,PHU,1st_dose_percentage_staff_vaccination_rate,2nd_dose_percentage_staff_vaccination_rate
1,2021-08-31T00:00:00,Algoma Manor Nursing Home,3041,Thessalon,ALGOMA,0.92,0.91
2,2021-08-31T00:00:00,Cedarwood Lodge,7093,Sault Ste. Marie,ALGOMA,0.95,0.95
3,2021-08-31T00:00:00,Extendicare Maple View of Sault Ste. Marie,3043,Sault Ste. Marie,ALGOMA,0.74,0.68
4,2021-08-31T00:00:00,Extendicare Van Daele,2609,Sault Ste. Marie,ALGOMA,0.9,0.88
5,2021-08-31T00:00:00,F. J. Davey Home,2936,Sault Ste. Marie,ALGOMA,0.87,0.74
6,2021-08-31T00:00:00,Lady Dunn Health Centre (Wawa),2875,Wawa,ALGOMA,0.96,0.95
7,2021-08-31T00:00:00,Mauno Kaihla Koti,2780,Sault Ste. Marie,ALGOMA,0.88,0.88
8,2021-08-31T00:00:00,North Shore Health Network - Eldcap Unit,2795,Blind River,ALGOMA,1,1
9,2021-08-31T00:00:00,North Shore Health Network - LTC Unit,2865,Blind River,ALGOMA,0.95,0.9
10,2021-08-31T00:00:00,St. Joseph's Manor,2877,Elliot Lake,ALGOMA,0.97,0.97
11,2021-08-31T00:00:00,Brierwood Gardens LTC,2678,Brantford,BRANT,0.86,0.82
12,2021-08-31T00:00:00,Fox Ridge Care Community,2570,Brantford,BRANT,0.96,0.9
13,2021-08-31T00:00:00,Hardy Terrace,2720,Brantford,BRANT,0.93,0.92
14,2021-08-31T00:00:00,Iroquois Lodge Nursing Home,2724,Ohsweken,BRANT,0.77,0.77
15,2021-08-31T00:00:00,John Noble Home,M544,Brantford,BRANT,0.86,0.85
16,2021-08-31T00:00:00,Park Lane Terrace,2779,Paris,BRANT,0.82,0.79
17,2021-08-31T00:00:00,St. Joseph's Lifecare Centre,2976,Brantford,BRANT,0.84,0.81
18,2021-08-31T00:00:00,Telfer Place,2742,Paris,BRANT,0.78,0.67
19,2021-08-31T00:00:00,Blenheim Community Village,2695,Blenheim,CHATHAM-KENT,0.87,0.83
20,2021-08-31T00:00:00,Copper Terrace,1115,Chatham,CHATHAM-KENT,0.86,0.8
21,2021-08-31T00:00:00,Fairfield Park,2823,Wallaceburg,CHATHAM-KENT,0.79,0.77
22,2021-08-31T00:00:00,Meadow Park Nursing Home (Chatham),2685,Chatham,CHATHAM-KENT,0.92,0.9
23,2021-08-31T00:00:00,Riverview Gardens,M626,Chatham,CHATHAM-KENT,0.83,0.81
24,2021-08-31T00:00:00,Tilbury Manor Nursing Home,1064,Tilbury,CHATHAM-KENT,0.77,0.71
25,2021-08-31T00:00:00,Village on the Ridge,2765,Ridgetown,CHATHAM-KENT,0.93,0.84
26,2021-08-31T00:00:00,Bay Ridges,2895,Pickering,DURHAM,0.87,0.85
27,2021-08-31T00:00:00,Bon Air Long Term Care Residence,2613,Cannington,DURHAM,0.91,0.84
28,2021-08-31T00:00:00,Chartwell Ballycliffe Long Term Care Residence,2658,Ajax,DURHAM,0.92,0.85
29,2021-08-31T00:00:00,Chartwell Wynfield Long Term Care Residence,2885,Oshawa,DURHAM,0.91,0.88
30,2021-08-31T00:00:00,Extendicare Oshawa,2439,Oshawa,DURHAM,0.9,0.88
31,2021-08-31T00:00:00,Fairview Lodge,M522,Whitby,DURHAM,0.88,0.85
32,2021-08-31T00:00:00,Fosterbrooke,2625,Newcastle,DURHAM,0.96,0.94
33,2021-08-31T00:00:00,Glen Hill Strathaven,2605,Bowmanville,DURHAM,0.91,0.89
34,2021-08-31T00:00:00,Glen Hill Terrace,3053,Whitby,DURHAM,0.94,0.93
35,2021-08-31T00:00:00,Hillsdale Estates,M539,Oshawa,DURHAM,0.84,0.82
36,2021-08-31T00:00:00,Hillsdale Terraces,M630,Oshawa,DURHAM,0.89,0.88
37,2021-08-31T00:00:00,Lakeview Manor,M546,Beaverton,DURHAM,0.89,0.89
38,2021-08-31T00:00:00,Orchard Villa,2693,Pickering,DURHAM,0.75,0.73
39,2021-08-31T00:00:00,Port Perry Place,2629,Port Perry,DURHAM,0.9,0.9
40,2021-08-31T00:00:00,ReachView Village,2635,Uxbridge,DURHAM,0.91,0.91
41,2021-08-31T00:00:00,Sunnycrest Nursing Home,1013,Whitby,DURHAM,0.85,0.83
42,2021-08-31T00:00:00,The Village of Taunton Mills,2902,Whitby,DURHAM,0.95,0.78
43,2021-08-31T00:00:00,Thorntonview,2534,Oshawa,DURHAM,0.93,0.91
44,2021-08-31T00:00:00,Winbourne Park,2871,Ajax,DURHAM,0.9,0.9
45,2021-08-31T00:00:00,Caressant Care Bourget,1160,Bourget,EASTERN ONTARIO,0.97,0.97
